"","station_id","lat","lon","country","years","location","scale","shape","index","rp10","rp30","rp100","kg","cluster","distance","n_gauges","record_len","start","end"
"567","IN_000009",15.4289999868237,75.629,"IN",37,46.7349878538013,13.6563415781401,-0.10002763123571,NA,74.2534833033374,85.9421068411113,97.0864835516541,"Arid hot",NA,NA,NA,NA,NA,NA
"568","IN_000046",15.5056999867941,80.0499,"IN",37,57.0656582515667,20.2868672096786,0.211388476512124,NA,115.524864550986,157.354490673468,214.871554070421,"Tropical",NA,NA,NA,NA,NA,NA
"569","IN_000052",22.3079999858756,70.8007,"IN",37,64.3280498997503,25.8934088517795,0.0335012154249745,NA,124.850461704421,157.119866624298,193.110156634893,"Arid hot",NA,NA,NA,NA,NA,NA
"570","US_000210",35.7999999910469,-93.8,"US",37,44.2960776812708,16.7846345797244,-0.0633539322119597,NA,79.4986545612337,95.4234422310408,111.274487358601,"Humid subtropical",NA,NA,NA,NA,NA,NA
"571","US_000215",35.0666699906672,-93.4,"US",37,50.8433769950852,15.5441681894112,0.0130964166783528,NA,86.3440287831564,104.632641980758,124.546725809641,"Humid subtropical",NA,NA,NA,NA,NA,NA
"572","US_000259",36.0499999911763,-92.65,"US",37,43.699384386156,13.3511813777599,-0.0295017935162455,NA,72.768812478008,86.7012835379994,101.131553660477,"Humid subtropical",NA,NA,NA,NA,NA,NA
"573","US_000341",35.0041999906349,-117.6503,"US",37,10.9807387228183,4.74655711516232,0.118743144354779,NA,23.2254517084255,30.7517289456789,40.0310109692724,"Arid hot",NA,NA,NA,NA,NA,NA
"574","US_000481",37.6666699920063,-122,"US",37,26.3317254301775,5.63523693288828,0.0642313865735424,NA,39.9753882424202,47.6345937707344,56.4912258352239,"Mediterranean",NA,NA,NA,NA,NA,NA
"575","US_001124",30.2490999882787,-85.6605,"US",37,66.9520114069068,20.4835054750978,-0.0780590103677409,NA,109.225834836851,127.873394427627,146.11698225179,"Humid subtropical",NA,NA,NA,NA,NA,NA
"576","US_001403",39.2879999928165,-89.8699,"US",37,36.2259065542191,8.70551021794802,-0.0491299135768017,NA,54.7723627718433,63.3688808583217,72.0696780695043,"Humid continental",NA,NA,NA,NA,NA,NA
