,lat,lon,country,rp10,rp100,kg
AU_001371,-31.6273999889276,152.443,AU,-52.9923480139519,-49.92519304631,Humid subtropical
AU_001373,-31.4137999888245,151.598,AU,-52.8242099246734,-56.4717464774419,Humid subtropical
AU_001374,-31.6646999889456,152.0637,AU,-51.9893914396882,-48.9468674225304,Humid subtropical
AU_001375,-24.8877999863295,113.67,AU,-27.2595609663185,-21.942714770464,Arid hot
AU_001381,-23.0313999859637,115.0414,AU,-45.2485390905619,-43.2609979212157,Arid hot
AU_001383,-32.7931999895035,151.8359,AU,-54.5881089158746,-53.4005111047775,Humid subtropical
AU_001384,-32.0631999891404,150.9271,AU,-35.8919909068464,-39.8441701502469,Humid subtropical
AU_001389,-32.242599989229,151.683,AU,-52.7636078413183,-53.2631570979877,Humid subtropical
AU_001391,-32.5066999893601,151.3779,AU,-46.2009276316243,-45.7776025377217,Humid subtropical
AU_001402,-33.3587999897894,150.7058,AU,-49.5025881185401,-52.0368786338874,Humid subtropical
AU_001407,-32.8125999895133,151.3043,AU,-47.8771473744402,-46.7895445525748,Humid subtropical
AU_001412,-32.6295999894216,151.5919,AU,-54.3665665848058,-52.7423953557746,Humid subtropical
AU_001416,-32.6880999894508,150.9728,AU,-42.131887270508,-44.4815468632315,Humid subtropical
AU_001420,-33.0487999896323,150.2325,AU,-53.337937310251,-56.8800916729774,Oceanic
AU_001437,-33.8086999900189,148.7071,AU,-31.7557179969556,-32.6539985163291,Humid subtropical
AU_001439,-33.7121999899695,150.3087,AU,-53.2465657849988,-55.7457236472709,Oceanic
AU_001440,-33.5346999898789,150.6337,AU,-48.731635265388,-51.2921096685751,Oceanic
AU_001448,-33.3210999897702,149.0828,AU,-51.7066678856397,-55.7452093386192,Oceanic
AU_001453,-31.2885999887645,149.0687,AU,-59.9042554010927,-61.9295763398308,Humid subtropical
AU_001455,-32.5058999893597,148.9708,AU,-47.1304073041083,-52.9885299415099,Humid subtropical
AU_001460,-33.9464999900895,151.1731,AU,-58.5742184581174,-58.0038907545832,Humid subtropical
AU_001461,-33.8606999900455,151.205,AU,-58.9884762735363,-58.4181557039831,Oceanic
AU_001464,-33.7916999900102,151.0181,AU,-55.1116628388539,-54.0523040181543,Humid subtropical
AU_001473,-33.6021999899133,150.7794,AU,-43.347774660839,-43.5213927120499,Humid subtropical
AU_001474,-33.9271999900796,150.9128,AU,-41.9193592846052,-41.3720611019694,Humid subtropical
AU_001480,-34.5899999904207,150.6085,AU,-56.5023933063829,-57.1523577331079,Oceanic
AU_001481,-34.4673999903575,150.8813,AU,-59.4929043465519,-61.1245169006198,Humid subtropical
AU_001500,-35.6866999909882,149.8382,AU,-49.3621941205553,-49.3982584704767,Oceanic
AU_001503,-34.8995999905807,149.9709,AU,-46.8696938427547,-46.0755863467526,Oceanic
AU_001504,-35.3048999907905,149.2014,AU,-28.7840733735218,-25.899410494851,Oceanic
AU_001508,-36.0328999911674,149.1323,AU,-43.4078259639091,-43.3825506583562,Oceanic
AU_001514,-36.0766999911901,149.5134,AU,-41.0750731781114,-41.3726249784113,Oceanic
AU_001519,-26.6135999868303,118.5372,AU,-21.6969662126405,-30.7262490304384,Arid hot
AU_001534,-36.6021999914613,148.4677,AU,-43.007927332326,-50.4453359831431,Oceanic
AU_001544,-36.1038999912041,147.0329,AU,-22.4230491196598,-18.7925004597297,Humid subtropical
AU_001547,-36.2253999912669,148.1431,AU,-34.3631710733211,-41.7047655760778,Oceanic
AU_001560,-35.1582999907147,147.4575,AU,-44.825624457167,-45.7033612436448,Humid subtropical
AU_001570,-34.3182999902807,146.0667,AU,-27.1144587522159,-28.9531566902137,Arid cold
AU_001576,-35.7252999910082,142.3656,AU,-30.4687280866476,-31.2192764489857,Arid cold
AU_001580,-37.2299999917837,141.9609,AU,-24.8157470413938,-29.0914211830537,Oceanic
AU_001581,-36.7912999915586,143.1207,AU,-28.9054650330931,-31.2382383230577,Oceanic
AU_001582,-36.700699991512,142.2009,AU,-11.1738523256242,-11.0940460293544,Oceanic
AU_001583,-36.8636999915959,143.123,AU,-33.25270454355,-35.3352177752651,Oceanic
AU_001586,-36.2714999912907,143.345,AU,-29.8361780436705,-35.2668215486526,Arid cold
AU_001589,-35.9118999911048,145.6447,AU,-32.5871365079791,-32.5443992439045,Humid subtropical
AU_001590,-35.7356999910136,143.9295,AU,-22.647806055236,-24.0402230016061,Arid cold
AU_001594,-28.7952999876461,114.6975,AU,-43.0342903327907,-44.0523765960207,Mediterranean
AU_001597,-36.3716999913425,145.7048,AU,-24.5861838429499,-23.8932983541307,Humid subtropical
AU_001598,-36.8338999915805,143.8917,AU,-38.5459208083147,-46.0551684885543,Oceanic
AU_001599,-36.9421999916362,143.4711,AU,-26.6955249643454,-30.5031142157764,Oceanic
AU_001600,-36.4377999913765,145.2672,AU,-32.1508566117435,-30.6272081180088,Humid subtropical
AU_001605,-36.6283999914748,144.8727,AU,-52.2243385786717,-56.6047738117588,Oceanic
AU_001613,-36.2002999912539,147.8956,AU,-31.4980384895819,-39.8459528293015,Oceanic
AU_001614,-36.7544999915397,145.5727,AU,-36.1739905377392,-37.1845484551431,Humid subtropical
AU_001618,-36.8471999915874,145.7308,AU,-39.8452168851234,-42.0360948298003,Oceanic
AU_001620,-36.8549999915914,146.0046,AU,-40.6174596192658,-46.4823229041098,Oceanic
AU_001621,-36.3499999913313,146.3417,AU,-26.5669139423399,-29.9218433300996,Oceanic
AU_001658,-37.4954999919192,148.176,AU,-29.334557098252,-38.515665635713,Oceanic
AU_001667,-37.7512999920492,147.7301,AU,-31.4884529763124,-38.3338343827183,Oceanic
AU_001674,-37.4771999919098,149.6386,AU,-43.3841227817182,-45.761684527246,Oceanic
AU_001676,-37.3810999918609,147.1067,AU,-13.587934139339,-23.1824385578772,Oceanic
AU_001680,-37.9084999921289,146.8046,AU,-37.2347738549558,-41.9555912182921,Oceanic
AU_001693,-38.5214999924371,146.2041,AU,-24.2535688110024,-28.2242997483046,Oceanic
AU_001696,-38.3180999923353,146.5645,AU,-34.3338077603524,-39.681964501219,Oceanic
AU_001698,-38.2455999922989,145.9347,AU,-39.1101297596758,-44.8578677086888,Oceanic
AU_001703,-37.8114999920798,146.9567,AU,-39.6048706103297,-45.3746530483569,Oceanic
AU_001709,-37.9038999921266,145.9719,AU,-41.8481364529864,-48.5763252782967,Oceanic
AU_001711,-37.7275999920372,144.9066,AU,-34.3747737783196,-41.7123475422223,Oceanic
AU_001713,-37.8218999920851,145.1906,AU,-17.5279292531178,-19.2510965122965,Oceanic
AU_001716,-37.721399992034,145.0059,AU,-24.7744291932205,-31.1202124466337,Oceanic
AU_001718,-37.5719999919581,145.5014,AU,-44.4381228123874,-49.5347885384375,Oceanic
AU_001723,-37.8053999920767,145.2987,AU,-39.7694558969906,-45.5564224692963,Oceanic
AU_001727,-37.6654999920057,144.8321,AU,-47.912844921953,-53.8604755093744,Oceanic
AU_001732,-37.7162999920315,145.0453,AU,-32.6632530980513,-33.9835754396142,Oceanic
AU_001735,-37.4701999919063,144.3069,AU,-32.8016429729958,-41.5352404038894,Oceanic
