station_id,lat,lon,country,years,location,scale,shape,index,rp10,rp30,rp100,kg,cluster,distance,n_gauges,record_len,start,end,rp10_vs_PXR2,rp30_vs_PXR2,rp100_vs_PXR2
JP_000641,36.72999999,139.68,JP,272,0.855731893,0.256749311,-0.015705017,39.8,56.7,67.8,79.5,Humid continental,197,40,9,30.02955,21/12/1978 18:00,01/01/2009 00:00,-34.29429733,NA,-35.73039751
JP_000642,36.75999999,139.88,JP,272,0.855731893,0.256749311,-0.015705017,37,52.7,63,73.9,Humid continental,197,40,9,30.03,21/12/1978 14:00,01/01/2009 00:00,-27.50369048,NA,-28.54595225
JP_000643,36.64999999,139.45,JP,272,0.855731893,0.256749311,-0.015705017,37,52.7,63,73.8,Humid continental,197,40,9,32.72952,09/04/1976 14:00,01/01/2009 00:00,-19.75599328,NA,-14.3513771
JP_000645,36.60999999,140,JP,1482,0.842773887,0.26952309,0.006166411,39.7,57.7,70,83.3,Humid subtropical,200,120,49,32.75439,31/03/1976 12:00,01/01/2009 00:00,-20.04496377,NA,-11.23422394
JP_000646,36.64999999,140.15,JP,1699,0.834575735,0.273502055,0.027226607,33.2,48.8,59.9,72.2,Humid subtropical,211,320,58,32.76762,26/03/1976 16:00,01/01/2009 00:00,-25.57003524,NA,-24.01070037
JP_000647,36.58999999,139.74,JP,272,0.855731893,0.256749311,-0.015705017,41.6,59.2,70.8,83,Humid continental,197,40,9,32.77356,24/03/1976 12:00,01/01/2009 00:00,-40.44167525,NA,-44.10555761
JP_000649,36.54999999,139.87,JP,272,0.855731893,0.256749311,-0.015705017,38.8,55.2,66,77.4,Humid subtropical,197,40,9,19.03126,20/12/1989 21:00,01/01/2009 00:00,NA,NA,NA
JP_000650,36.42999999,139.59,JP,272,0.855731893,0.256749311,-0.015705017,39.6,56.4,67.5,79.1,Humid subtropical,197,40,9,33.00205,01/01/1976 01:00,01/01/2009 00:00,-44.89102092,NA,-41.94003726
JP_000651,36.47999999,139.99,JP,345,0.850617831,0.285724402,-0.057891436,34.7,50.4,60,69.6,Humid subtropical,195,40,12,32.76785,26/03/1976 14:00,01/01/2009 00:00,-36.90176112,NA,-35.08300688
JP_000652,36.29999999,139.47,JP,380,0.812216783,0.321485118,0.006927965,34.7,53.5,66.4,80.4,Humid subtropical,198,40,12,32.77892,22/03/1976 13:00,01/01/2009 00:00,-28.27680397,NA,-25.68033488
JP_000653,36.33999999,139.56,JP,728,0.836307684,0.287850637,-0.008708115,33.9,50.1,60.9,72.4,Humid subtropical,199,60,23,32.77869,22/03/1976 15:00,01/01/2009 00:00,-30.29491925,NA,-26.46286204
JP_000654,36.36999999,139.7,JP,728,0.836307684,0.287850637,-0.008708115,36.8,54.4,66.1,78.6,Humid subtropical,199,60,23,32.77287,24/03/1976 18:00,01/01/2009 00:00,-43.62006565,NA,-39.10699699
JP_000655,36.33999999,139.83,JP,728,0.836307684,0.287850637,-0.008708115,35.7,52.8,64.2,76.3,Humid subtropical,199,60,23,32.76808,26/03/1976 12:00,01/01/2009 00:00,-47.57468639,NA,-47.11640797
JP_000656,36.86999999,139.06,JP,1699,0.834575735,0.273502055,0.027226607,28.1,41.3,50.7,61.2,Humid continental,211,320,58,31.13849,11/11/1977 17:00,01/01/2009 00:00,-35.70181231,NA,-32.07249115
JP_000657,36.79999999,138.99,JP,1699,0.834575735,0.273502055,0.027226607,31.5,46.3,56.9,68.6,Humid continental,211,320,58,32.73523,07/04/1976 12:00,01/01/2009 00:00,-22.78354259,NA,-16.73338449
JP_000660,36.76999999,139.24,JP,272,0.855731893,0.256749311,-0.015705017,22.8,32.5,38.9,45.6,Humid continental,197,40,9,31.45368,19/07/1977 14:00,01/01/2009 00:00,-32.97881187,NA,-31.82289984
JP_000661,36.61999999,138.59,JP,487,0.832020714,0.291046744,-6.06E-05,31.6,47.1,57.5,68.7,Humid continental,203,40,16,32.7131,15/04/1976 14:00,01/01/2009 00:00,NA,NA,NA
JP_000664,36.64999999,139.06,JP,380,0.812216783,0.321485118,0.006927965,30.3,46.7,58,70.2,Humid continental,198,40,12,32.73215,08/04/1976 15:00,01/01/2009 00:00,-34.00837682,NA,-32.89568225
JP_000665,36.58999999,138.85,JP,380,0.812216783,0.321485118,0.006927965,35,54,67,81.1,Humid continental,198,40,12,32.85512,23/02/1976 17:00,01/01/2009 00:00,-40.61127495,NA,-38.32300431
JP_000667,36.45999999,138.46,JP,1699,0.834575735,0.273502055,0.027226607,26,38.2,46.9,56.5,Humid continental,211,320,58,32.71583,14/04/1976 14:00,01/01/2009 00:00,-32.17616074,NA,-27.48968077
JP_000668,36.46999999,138.87,JP,380,0.812216783,0.321485118,0.006927965,51.2,79,98,118.6,Humid continental,198,40,12,32.73488,07/04/1976 15:00,01/01/2009 00:00,-12.35399536,NA,-7.230826088
JP_000669,36.40999999,139.06,JP,380,0.812216783,0.321485118,0.006927965,37.2,57.3,71.1,86,Tropical,198,40,12,33.00205,01/01/1976 01:00,01/01/2009 00:00,-41.82644853,NA,-40.85142333
JP_000670,36.49999999,139.28,JP,272,0.855731893,0.256749311,-0.015705017,39.6,56.4,67.4,79,Humid subtropical,197,40,9,30.54449,16/06/1978 16:00,01/01/2009 00:00,-41.1479806,NA,-40.35440913
JP_000671,36.37999999,139.34,JP,380,0.812216783,0.321485118,0.006927965,37.5,57.7,71.7,86.7,Humid subtropical,198,40,12,33.00205,01/01/1976 01:00,01/01/2009 00:00,-10.77579347,NA,-3.721352198
JP_000673,36.37999999,138.9,JP,380,0.812216783,0.321485118,0.006927965,42.2,65,80.7,97.6,Tropical,198,40,12,32.78998,18/03/1976 12:00,01/01/2009 00:00,-29.15566786,NA,-26.18844096
JP_000674,36.33999999,139.19,JP,380,0.812216783,0.321485118,0.006927965,33.4,51.4,63.8,77.2,Tropical,198,40,12,22.39163,10/03/1976 12:00,01/08/1998 00:00,NA,NA,NA
JP_000676,36.23999999,138.71,JP,380,0.812216783,0.321485118,0.006927965,31.4,48.4,60.1,72.7,Humid continental,198,40,12,32.78964,18/03/1976 15:00,01/01/2009 00:00,-45.72604883,NA,-43.27398758
JP_000677,36.24999999,139.07,JP,380,0.812216783,0.321485118,0.006927965,37.9,58.4,72.5,87.7,Tropical,198,40,12,33.00205,01/01/1976 01:00,01/01/2009 00:00,-26.89639531,NA,-23.85403925
JP_000678,36.22999999,139.53,JP,728,0.836307684,0.287850637,-0.008708115,35.9,53.1,64.6,76.7,Humid subtropical,199,60,23,32.80881,11/03/1976 15:00,01/01/2009 00:00,-27.88206189,NA,-16.01176422
JP_000680,36.10999999,138.9,JP,380,0.812216783,0.321485118,0.006927965,32.7,50.4,62.6,75.7,Tropical,198,40,12,31.1224,17/11/1977 14:00,01/01/2009 00:00,-49.36889845,NA,-43.365799
JP_000681,36.09999999,139.18,JP,380,0.812216783,0.321485118,0.006927965,37.7,58.2,72.2,87.3,Humid subtropical,198,40,12,32.70226,19/04/1976 13:00,01/01/2009 00:00,-37.62339516,NA,-30.26737315
JP_000682,36.14999999,139.38,JP,728,0.836307684,0.287850637,-0.008708115,41.5,61.3,74.6,88.6,Humid subtropical,199,60,23,33.00205,01/01/1976 01:00,01/01/2009 00:00,-49.73645635,NA,-51.15465182
JP_000683,36.04999999,138.98,JP,728,0.836307684,0.287850637,-0.008708115,33.2,49.1,59.7,70.9,Tropical,199,60,23,31.35227,25/08/1977 15:00,01/01/2009 00:00,-34.73648516,NA,-26.2983423
JP_000684,36.05999999,139.52,JP,728,0.836307684,0.287850637,-0.008708115,34.3,50.7,61.6,73.2,Humid subtropical,199,60,23,32.69142,23/04/1976 12:00,01/01/2009 00:00,-38.46150182,NA,-30.09753657
JP_000685,36.08999999,139.63,JP,728,0.836307684,0.287850637,-0.008708115,37,54.6,66.4,78.9,Humid subtropical,199,60,23,32.69097,23/04/1976 16:00,01/01/2009 00:00,-26.88034524,NA,-16.55980257
JP_000686,35.92999999,138.92,JP,728,0.836307684,0.287850637,-0.008708115,32.4,47.9,58.2,69.2,Humid subtropical,199,60,23,33.00205,01/01/1976 01:00,01/01/2009 00:00,-35.7124615,NA,-26.35490088
JP_000687,35.98999999,139.07,JP,728,0.836307684,0.287850637,-0.008708115,33.5,49.5,60.1,71.5,Humid subtropical,199,60,23,33.00205,01/01/1976 01:00,01/01/2009 00:00,-38.90038998,NA,-32.09433079
JP_000688,35.91999999,139.07,JP,728,0.836307684,0.287850637,-0.008708115,40.8,60.3,73.2,87,Humid subtropical,199,60,23,31.51084,28/06/1977 17:00,01/01/2009 00:00,-27.323276,NA,-25.4210825
JP_000689,36.00999999,139.19,JP,728,0.836307684,0.287850637,-0.008708115,36,53.3,64.8,76.9,Humid subtropical,199,60,23,23.97068,11/05/1976 18:00,01/05/2000 00:00,NA,NA,NA
JP_000691,35.97999999,139.34,JP,728,0.836307684,0.287850637,-0.008708115,33,48.8,59.3,70.5,Humid subtropical,199,60,23,31.02669,22/12/1977 13:00,01/01/2009 00:00,-19.34791849,NA,-8.048598458
JP_000692,35.83999999,139.32,JP,728,0.836307684,0.287850637,-0.008708115,37,54.7,66.5,79,Humid subtropical,199,60,23,32.71275,15/04/1976 17:00,01/01/2009 00:00,-33.69913082,NA,-25.34872561
JP_000693,35.87999999,139.59,JP,728,0.836307684,0.287850637,-0.008708115,31.3,46.2,56.2,66.7,Humid subtropical,199,60,23,32.71321,15/04/1976 13:00,01/01/2009 00:00,-40.87109832,NA,-42.05880304
JP_000694,35.87999999,139.76,JP,462,0.823778844,0.266274702,0.079227041,31.8,47.1,59.1,73.2,Humid subtropical,196,80,15,32.69074,23/04/1976 18:00,01/01/2009 00:00,-26.78821012,NA,-25.32034867
JP_000695,35.76999999,139.41,JP,728,0.836307684,0.287850637,-0.008708115,36.4,53.8,65.4,77.7,Humid subtropical,199,60,23,32.71298,15/04/1976 15:00,01/01/2009 00:00,-41.58761275,NA,-39.5971787
JP_000696,35.78999999,139.05,JP,728,0.836307684,0.287850637,-0.008708115,36.8,54.3,66,78.5,Humid subtropical,199,60,23,33.00205,01/01/1976 01:00,01/01/2009 00:00,-33.84602482,NA,-28.70659445
JP_000697,35.72999999,139.12,JP,728,0.836307684,0.287850637,-0.008708115,37.4,55.2,67.2,79.8,Humid subtropical,199,60,23,31.41513,02/08/1977 16:00,01/01/2009 00:00,-50.01581775,NA,-46.76286531
JP_000698,35.78999999,139.31,JP,728,0.836307684,0.287850637,-0.008708115,36,53.2,64.7,76.8,Humid subtropical,199,60,23,33.00205,01/01/1976 01:00,01/01/2009 00:00,-33.27573193,NA,-28.08665179
JP_000699,35.72999999,139.67,JP,728,0.836307684,0.287850637,-0.008708115,40.2,59.4,72.2,85.8,Humid subtropical,199,60,23,33.00205,01/01/1976 01:00,01/01/2009 00:00,-43.71308374,NA,-39.9906503
JP_000701,35.66999999,139.32,JP,728,0.836307684,0.287850637,-0.008708115,36,53.3,64.7,76.9,Humid subtropical,199,60,23,25.25394,01/10/1983 01:00,01/01/2009 00:00,NA,NA,NA
JP_000702,35.67999999,139.48,JP,728,0.836307684,0.287850637,-0.008708115,35.9,53.1,64.6,76.7,Humid subtropical,199,60,23,32.04472,15/12/1976 17:00,01/01/2009 00:00,-34.21903898,NA,-23.10670549
JP_000704,35.62999999,139.62,JP,1482,0.842773887,0.26952309,0.006166411,39.4,57.3,69.6,82.8,Humid subtropical,200,120,49,33.00205,01/01/1976 01:00,01/01/2009 00:00,-38.62763954,NA,-28.23292513
JP_000705,35.68999999,139.76,JP,1482,0.842773887,0.26952309,0.006166411,37.8,54.9,66.7,79.4,Humid subtropical,200,120,49,31.91513,01/01/1976 01:00,01/12/2007 00:00,-36.48716528,NA,-27.94143031
JP_000708,35.54999999,139.78,JP,1482,0.842773887,0.26952309,0.006166411,33.1,48.1,58.4,69.6,Humid subtropical,200,120,49,33.00205,01/01/1976 01:00,01/01/2009 00:00,-40.28327549,NA,-31.04294656
JP_000725,35.90999999,140.49,JP,345,0.850617831,0.285724402,-0.057891436,29.8,43.3,51.5,59.7,Humid subtropical,195,40,12,23.66598,01/01/1976 01:00,01/09/1999 00:00,NA,NA,NA
