,station_id,lat,lon,country,years,location,scale,shape,index,rp10,rp30,rp100,kg,cluster,distance,n_gauges,record_len,start,end,rp10_vs_PXR2,rp100_vs_PXR2
184,AU_001061,-27.54359999,152.3375,AU,342,0.814939064,0.280556285,0.077332895,33.7,50.7,64.1,79.7,Humid subtropical,107,60,10,58.73568,04/06/1956 20:00,01/03/2015 00:00,-53.18357595,-50.16257822
185,AU_001062,-26.18309999,152.6414,AU,877,0.828163013,0.283189709,0.029100474,38.5,57.3,70.7,85.7,Humid subtropical,117,140,25,51.13381,13/05/1963 10:00,01/07/2014 00:00,-49.05390132,-43.27570024
186,AU_001063,-27.81059999,152.6653,AU,342,0.814939064,0.280556285,0.077332895,31,46.6,58.9,73.3,Humid subtropical,107,60,10,44.52179,22/01/1971 11:00,01/08/2015 00:00,-48.20800125,-45.65997196
187,AU_001064,-27.61169999,152.7608,AU,342,0.814939064,0.280556285,0.077332895,33.4,50.2,63.5,79,Humid subtropical,107,60,10,18.72918,08/06/1975 05:00,01/03/1994 00:00,NA,NA
188,AU_001065,-26.66389999,152.4608,AU,877,0.828163013,0.283189709,0.029100474,34.8,51.7,63.8,77.3,Humid subtropical,117,140,25,27.93338,25/02/1972 09:00,01/02/2000 00:00,NA,NA
189,AU_001066,-26.59559999,152.7281,AU,877,0.828163013,0.283189709,0.029100474,36.7,54.6,67.4,81.6,Humid subtropical,117,140,25,34.16256,03/07/1981 04:00,01/09/2015 00:00,-31.39504382,-20.83869265
190,AU_001067,-26.08579999,152.2381,AU,877,0.828163013,0.283189709,0.029100474,36.4,54.2,66.9,81,Humid subtropical,117,140,25,43.141,11/12/1971 19:00,01/02/2015 00:00,-55.80917945,-52.45254796
191,AU_001068,-26.55439999,151.8456,AU,877,0.828163013,0.283189709,0.029100474,36.8,54.7,67.5,81.8,Humid subtropical,117,140,25,37.74812,04/05/1963 13:00,01/02/2001 00:00,-54.46080092,-53.63611752
192,AU_001071,-25.51609999,152.7156,AU,877,0.828163013,0.283189709,0.029100474,39.8,59.2,73.1,88.5,Humid subtropical,117,140,25,50.57529,02/08/1964 10:00,01/03/2015 00:00,-49.73204853,-45.7979708
193,AU_001073,-28.03019999,152.5529,AU,342,0.814939064,0.280556285,0.077332895,36.4,54.8,69.2,86.1,Humid subtropical,107,60,10,50.33984,27/10/1964 10:00,01/03/2015 00:00,-43.76233612,-41.06368036
194,AU_001076,-26.24219999,151.9425,AU,877,0.828163013,0.283189709,0.029100474,34.2,50.8,62.8,76,Humid subtropical,117,140,25,35.94741,20/03/1972 06:00,01/03/2008 00:00,-55.0375903,-51.5103106
195,AU_001078,-27.89649999,153.3128,AU,1117,0.834948484,0.285052462,0.001822803,40.6,59.9,73.1,87.3,Humid subtropical,120,160,33,17.07073,04/06/1998 23:00,01/07/2015 00:00,NA,NA
196,AU_001079,-28.21109999,152.865,AU,1117,0.834948484,0.285052462,0.001822803,34.6,51.1,62.4,74.5,Humid subtropical,120,160,33,49.51996,22/11/1965 21:00,01/06/2015 00:00,-48.73479304,-44.58624766
197,AU_001082,-28.22639999,153.2786,AU,1117,0.834948484,0.285052462,0.001822803,40.9,60.5,73.8,88.1,Humid subtropical,120,160,33,38.24675,02/10/1965 10:00,01/01/2004 00:00,-54.7156635,-50.59851262
198,AU_001083,-27.96949999,153.1954,AU,1117,0.834948484,0.285052462,0.001822803,39.5,58.3,71.1,84.9,Oceanic,120,160,33,42.83938,28/05/1972 23:00,01/04/2015 00:00,-51.12966977,-47.32893961
199,AU_001087,-27.47779999,153.0306,AU,314,0.824143299,0.274359578,0.060828591,37,55,68.7,84.4,Humid subtropical,6,20,8,86.57803,02/01/1908 10:00,01/08/1994 00:00,-46.7629932,-46.20996272
200,AU_001089,-27.41179999,153.0457,AU,314,0.824143299,0.274359578,0.060828591,38.3,56.9,71,87.3,Humid subtropical,6,20,8,37.44924,18/11/1971 17:00,01/05/2009 00:00,-48.89429038,-45.14900389
201,AU_001090,-27.41779999,153.1142,AU,314,0.824143299,0.274359578,0.060828591,37.7,56,69.9,85.9,Humid subtropical,6,20,8,50.74937,31/05/1949 20:00,01/03/2000 00:00,NA,NA
202,AU_001093,-27.36169999,152.8861,AU,314,0.824143299,0.274359578,0.060828591,33.8,50.2,62.7,77,Humid subtropical,6,20,8,36.57278,05/06/1967 20:00,01/01/2004 00:00,-42.25500365,-35.53497309
203,AU_001096,-27.52779999,153.25,AU,877,0.828163013,0.283189709,0.029100474,38.5,57.2,70.6,85.5,Humid subtropical,117,140,25,49.0024,30/10/1964 22:00,01/11/2013 00:00,-44.12837305,-37.8671733
204,AU_001099,-26.64309999,152.9392,AU,877,0.828163013,0.283189709,0.029100474,41.6,61.9,76.4,92.5,Humid subtropical,117,140,25,54.91285,02/01/1954 03:00,01/12/2008 00:00,-46.45753849,-38.18145257
205,AU_001101,-27.33419999,152.7717,AU,342,0.814939064,0.280556285,0.077332895,36.6,55.1,69.6,86.7,Humid subtropical,107,60,10,47.4822,06/01/1968 04:00,01/07/2015 00:00,-44.52122053,-42.35288731
206,AU_001104,-27.73539999,152.9443,AU,877,0.828163013,0.283189709,0.029100474,36.3,54,66.6,80.6,Humid subtropical,117,140,25,42.00342,29/06/1973 07:00,01/07/2015 00:00,-46.37376326,-44.2678544
207,AU_001105,-27.02579999,152.5642,AU,877,0.828163013,0.283189709,0.029100474,32,47.5,58.7,71.1,Humid subtropical,117,140,25,30.62993,13/11/1959 11:00,01/07/1990 00:00,-45.70216202,-43.0624947
208,AU_001106,-20.37249999,118.6317,AU,561,0.807174818,0.358667376,-0.041554176,24.9,39.3,48.3,57.5,Arid hot,28,920,21,62.52053,22/01/1953 10:00,01/08/2015 00:00,-48.86045862,-43.9579602
209,AU_001108,-20.77669999,117.1456,AU,561,0.807174818,0.358667376,-0.041554176,24.2,38.2,47,55.9,Arid hot,28,920,21,48.63952,10/12/1966 11:00,01/08/2015 00:00,-55.0605913,-51.64982502
