station_id,lat,lon,country,years,location,scale,shape,index,rp10,rp30,rp100,kg,cluster,distance,n_gauges,record_len,start,end
DE_000553,50.3600999969906,6.8697,DE,266,0.8545288,0.2412311,0.02549338,29.0,40.9,49.5,58.9,Oceanic,374.0,260.0,14.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000555,49.5029999967698,11.0549,DE,447,0.8161754,0.2397387,0.1623833,28.2,41.4,53.5,69.2,Humid continental,375.0,820.0,23.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000562,47.3985999961532,10.276,DE,292,0.8391819,0.2250513,0.1229226,38.5,54.8,68.7,85.9,Alpine & subarctic,372.0,200.0,15.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000567,49.2069999966894,9.51749999999999,DE,266,0.8545288,0.2412311,0.02549338,26.6,37.6,45.4,54.1,Oceanic,374.0,260.0,14.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000571,51.2959999972124,13.0928,DE,415,0.8379276,0.2843391,-0.007347867,31.0,45.7,55.4,65.9,Humid continental,370.0,140.0,21.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000572,52.2552999974198,8.0534,DE,700,0.8350379,0.2373284,0.1072438,32.3,46.5,58.2,72.5,Oceanic,107.0,240.0,31.0,15.24869,1995-09-01 00:00:00,2010-11-30 13:00:00
DE_000574,51.0872999971647,11.9292,DE,415,0.8379276,0.2843391,-0.007347867,31.2,45.9,55.7,66.2,Humid continental,370.0,140.0,21.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000593,50.4818999970206,12.13,DE,415,0.8379276,0.2843391,-0.007347867,32.7,48.1,58.4,69.4,Humid continental,370.0,140.0,21.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000601,52.3812999974456,13.0622,DE,236,0.8028597,0.3021835,0.07099522,29.2,45.0,57.3,71.5,Humid continental,373.0,140.0,12.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000606,54.3642999978093,13.4771,DE,800,0.8193455,0.2529732,0.1225595,29.4,43.4,55.3,70.1,Oceanic,366.0,360.0,40.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
