"","station_id","lat","lon","country","years","location","scale","shape","index","rp10","rp30","rp100","kg","cluster","distance","n_gauges","record_len","start","end","rp10_vs_PXR2","rp100_vs_PXR2"
"373","AU_001508",-36.0328999911674,149.1323,"AU",335,0.839427551247827,0.288447578462711,-0.0211666763840326,24.1,35.5,43,50.7,"Oceanic",13,100,10,49.29546,"1965-12-13 21:00:00","2015-04-01 00:00:00",NA,NA
"374","AU_001512",-35.299999990788,149.1,"AU",335,0.839427551247827,0.288447578462711,-0.0211666763840326,28.1,41.4,50.1,59.2,"Oceanic",13,100,10,19.07358,"1921-01-04 10:00:00","1940-02-01 00:00:00",NA,NA
"375","AU_001513",-24.0018999861309,119.5725,"AU",433,0.784796574137475,0.345492345606194,0.0442888941751349,33.4,53.5,68.3,85,"Arid hot",25,800,14,17.16895,"1998-07-01 02:00:00","2015-09-01 00:00:00",NA,NA
"376","AU_001514",-36.0766999911901,149.5134,"AU",335,0.839427551247827,0.288447578462711,-0.0211666763840326,30.8,45.3,54.8,64.7,"Oceanic",13,100,10,49.31189,"1965-12-07 21:00:00","2015-04-01 00:00:00",-36.9030897941768,-45.5002699822884
"377","AU_001519",-26.6135999868303,118.5372,"AU",324,0.733216608138936,0.355024434971729,0.151158698121912,24.9,42,57.3,77,"Arid hot",104,640,10,62.2115,"1953-04-14 07:00:00","2015-07-01 00:00:00",-4.31935907354827,-23.3020303689774
"378","AU_001523",-24.2296999861779,118.2408,"AU",324,0.733216608138936,0.355024434971729,0.151158698121912,41.4,69.8,95.3,128.1,"Arid hot",104,640,10,17.16906,"1998-07-01 01:00:00","2015-09-01 00:00:00",NA,NA
"379","AU_001524",-23.7941999860906,120.2442,"AU",433,0.784796574137475,0.345492345606194,0.0442888941751349,25.3,40.5,51.7,64.3,"Arid hot",25,800,14,18.67328,"1963-02-28 15:00:00","1981-11-01 00:00:00",NA,NA
"380","AU_001525",-27.36359998709,116.4261,"AU",324,0.733216608138936,0.355024434971729,0.151158698121912,23.8,40.1,54.8,73.6,"Arid hot",104,640,10,23.14956,"1963-03-07 16:00:00","1986-05-01 00:00:00",NA,NA
"381","AU_001527",-23.6238999860593,118.6561,"AU",433,0.784796574137475,0.345492345606194,0.0442888941751349,29,46.5,59.4,73.9,"Arid hot",25,800,14,16.6653,"1998-10-01 01:00:00","2015-06-01 00:00:00",NA,NA
"382","AU_001529",-25.6932999865455,118.0803,"AU",324,0.733216608138936,0.355024434971729,0.151158698121912,35.1,59.2,80.9,108.7,"Arid hot",104,640,10,17.08419,"1998-07-01 01:00:00","2015-08-01 00:00:00",NA,NA
"383","AU_001534",-36.6021999914613,148.4677,"AU",187,0.790083264333588,0.286226724339368,0.137550186701366,29.5,45.6,59.8,77.6,"Oceanic",136,180,6,44.4392,"1971-02-21 15:00:00","2015-08-01 00:00:00",-16.6862410175629,-24.3521901849084
"384","AU_001540",-24.9482999863446,118.7147,"AU",324,0.733216608138936,0.355024434971729,0.151158698121912,37.3,62.8,85.8,115.3,"Arid hot",104,640,10,17.16895,"1998-07-01 02:00:00","2015-09-01 00:00:00",NA,NA
"385","AU_001543",-23.4530999860297,119.7994,"AU",433,0.784796574137475,0.345492345606194,0.0442888941751349,40.1,64.2,82,102.1,"Arid hot",25,800,14,22.36972,"1984-07-18 12:00:00","2006-12-01 00:00:00",NA,NA
"386","AU_001544",-36.1038999912041,147.0329,"AU",222,0.841058695820746,0.253730341064987,0.0475595085390388,27.8,40.1,49.3,59.7,"Humid subtropical",19,120,6,60.40965,"1955-03-04 10:00:00","2015-08-01 00:00:00",-15.284487350541,-20.5990742186819
